TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
38,29,-1.4700998704690165,1,49.46706586826348,142.94910179640718,1.003,-0.038,False,56.762256820024646,8.008937805584749,18
38,21,-1.7355617079796655,1,31.72222222222222,144.3042328042328,,,True,57.291795575715696,8.930849178427753,10
38,19,-1.5127592060203399,1,42.11538461538461,146.74679487179486,0.779,0.407,False,55.09431617003309,7.964219024175791,11
39,22,-0.12091286771327733,1,88.42125984251969,29.515748031496063,0.712,-0.198,False,39.64230028992343,8.612789043495242,12
39,30,-0.05045764797798695,1,97.88727272727272,36.01090909090909,0.928,0.812,False,43.00238211791796,8.48447244561717,15
39,32,-0.9169961646851473,1,60.51041666666666,47.984375,0.464,-0.137,False,33.37214190073055,7.508517558728005,14
39,23,-0.9702354331699979,1,66.15086206896552,51.543103448275865,0.682,-0.13,False,41.85991557918413,7.313789879424176,12
39,31,-0.9188796811651004,1,72.68978102189782,55.49270072992701,0.972,0.028,False,41.25034488953664,8.71736821443408,15
39,33,-1.3473131822684759,1,49.01069518716577,73.50267379679144,0.62,0.047,False,30.098190891165142,8.037389768842273,14
39,24,-1.2846325501399805,1,69.25367647058823,80.62867647058823,0.887,-0.138,False,41.44642754889258,8.575905321592447,17
39,13,-1.200439126357228,1,52.095652173913045,85.80869565217391,0.781,-0.049,False,39.4003906656176,7.964533261020421,6
39,25,-1.2801663311881606,1,60.4180790960452,84.29943502824858,0.529,-0.215,False,28.75368163400585,7.988706264484983,7
39,16,-1.2566840269955208,1,37.175,103.55,0.669,0.216,False,43.52946063001004,8.459925707397948,8
39,28,-1.1953197954039256,1,50.01675977653631,109.62569832402237,0.737,-0.047,False,30.245914014745093,7.809893032458668,7
39,27,-1.467966099230538,1,57.69827586206897,131.22844827586206,-0.122,0.054,False,77.26712149354431,8.101743640345132,18
39,26,-1.4848862227153221,1,66.6949806949807,116.2046332046332,0.789,0.41,False,40.07468323995179,8.567705665110232,17
39,20,-1.3204569291385677,1,39.445283018867926,121.77735849056604,0.966,0.568,False,44.72865442262992,8.395913777866651,10
39,29,-1.4599423058410212,1,49.92372881355932,142.58757062146893,1.127,0.34,False,61.77961718798349,7.75841923893215,18
39,34,-1.7864717423008938,1,27.82758620689655,130.61576354679804,0.396,-0.371,False,31.121806145825182,8.516821134251948,21
39,19,-1.4955883202623554,1,42.38643067846608,148.78466076696165,,,True,58.98881949552088,8.058547787381526,11
39,35,-1.6608816531891841,1,33.7035175879397,156.96984924623115,0.244,0.036,False,29.27873237110588,8.990680950880195,21
40,22,-0.05536975233414624,1,87.54448398576513,29.01423487544484,,,False,43.201482993444586,8.615294445345167,12
40,23,-0.8757830956436788,1,66.83921568627451,49.56470588235294,,,False,45.26962525821066,7.421221697282354,12
40,30,-3.1277981762157108,1,102.1734693877551,36.09183673469388,,,False,47.64143582185295,8.17102309243935,15
40,32,-0.8271214463347483,1,60.26923076923077,47.1875,,,False,35.69457279854401,7.551249119317075,14
40,31,-0.7478142934562808,1,74.38666666666667,53.44,,,False,46.11224304250128,8.709263103817367,15
40,33,-1.4423748977197985,1,48.00473933649289,74.44549763033176,,,False,33.19747523816591,8.304805698568066,14
40,24,-1.3066355347544596,1,69.86241610738254,79.18456375838926,,,False,45.88129529453115,8.528975091986464,17
40,13,-1.2183825719971957,1,51.82936507936508,85.68253968253968,,,False,43.30543941469824,8.718995199642183,6
40,25,-1.3409733842739977,1,61.5130890052356,82.16230366492147,,,False,31.40009729431615,7.914281211245327,7
40,16,-1.3242523503811117,1,36.25503355704698,105.02013422818791,,,False,46.87544965206848,8.417429154429058,8
40,28,-1.1962261936118384,1,50.608247422680414,109.09278350515464,,,False,33.93197783194232,7.555075448576413,7
40,27,-1.4597135620076334,1,58.15521064301552,131.31929046563192,,,False,76.65552923259158,7.914016281041493,18
40,26,-1.459139550596617,1,66.99649122807017,118.39298245614034,,,False,44.01885081395923,8.491655265765072,17
40,20,-1.3493740890206312,1,39.25085910652921,124.8213058419244,,,False,49.55959923732235,8.673050439783696,10
40,34,-1.7810932375288986,1,26.88425925925926,128.9212962962963,,,False,33.10097461818995,8.512137257921001,21
40,29,-1.460066836038879,1,50.146907216494846,144.31185567010309,,,False,67.41558813385429,7.835946272939391,18
40,36,-1.440280644502495,1,43.72677595628415,137.71584699453553,,,False,30.6017487415079,7.804839363072949,19
40,35,-1.7130320108290416,1,33.31400966183575,157.23671497584542,,,False,30.50097365024854,9.06919213886848,21
40,37,-1.5349680756056425,1,41.44864864864865,165.76216216216216,,,False,31.1717427476424,7.914547249551334,19
